unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
976,texture,cobwebbed,0.48661651443310205,labyrinth,51914,1016043.0,17613,0.016768791938641055,black-c,139916835,3216279.0,845353,0.005941150483069306,glass,2246413,632339.0,7734,0.0026938180115903139,labyrinth-indoor-s,137984,442049.0,23177,0.041621173157872053,cobwebbed,1505280,1467623.0,973125,0.48661651443310205,head,4946761,573244.0,43418,0.0079279302967340797
1428,texture,fibrous,0.37579825378712534,cat,4163987,1739898.0,259460,0.04596748118718913,yellow-c,34166024,3522654.0,279363,0.0074677389842610058,fur,103337,585043.0,6305,0.0092438514826082181,wheat_field-s,175616,463184.0,56014,0.096114182564440459,fibrous,1831424,1322599.0,861519,0.37579825378712534,head,4946761,1229703.0,177166,0.029531121807918195
51,texture,knitted,0.37124497084942953,sheep,811669,753586.0,20297,0.013137573966412032,purple-c,10857154,3395791.0,143854,0.01019583756317115,food,1104991,918848.0,29303,0.014691637553796974,bakery-kitchen-s,125440,298958.0,3071,0.0072888753865762226,knitted,1856512,1737820.0,973114,0.37124497084942953,torso,7669375,557521.0,122939,0.015170243376167963
1412,object,cat,0.32058307465864883,cat,4163987,3075596.0,1757472,0.32058307465864883,black-c,139916835,3649574.0,878440,0.0061563704785790319,fur,103337,1087383.0,15799,0.013446861533669072,hunting_lodge-indoor-s,125440,130806.0,3772,0.01494015225330133,striped,2433536,116731.0,80391,0.032548597581417045,head,4946761,2967017.0,742988,0.10361313049189838
276,texture,striped,0.30117023900494572,bird,1030707,1036747.0,29221,0.014336437492671349,purple-c,10857154,3463664.0,91861,0.0064559194324643751,fabric,8556493,985653.0,73161,0.0077263825003419054,staircase-s,865536,480650.0,26048,0.019731270518688199,striped,2433536,1327857.0,870616,0.30117023900494572,torso,7669375,668788.0,81103,0.009822261192240337
512,texture,honeycombed,0.29950007247731902,seat,1488057,1658538.0,203261,0.069058081753548869,red-c,21004512,3495799.0,218482,0.008997757129415581,food,1104991,1087717.0,25988,0.011994166297444986,auditorium-s,489216,1043230.0,116249,0.082085331348675364,honeycombed,1555456,793341.0,541335,0.29950007247731902,pot,422616,594094.0,6106,0.0060419313598600441
1250,texture,cobwebbed,0.28264281198847885,fountain,145557,980773.0,19812,0.017904814923932554,purple-c,10857154,3322428.0,108936,0.007742075239473724,glass,2246413,546977.0,13438,0.0048338964125999298,fountain-s,188160,420491.0,12753,0.021401313647637681,cobwebbed,1505280,1686306.0,703297,0.28264281198847885,body,1291612,426507.0,20964,0.012352436872295106
1417,texture,honeycombed,0.28222444074313657,car,5354795,463669.0,152089,0.026840616796452759,orange-c,30348501,3769967.0,247173,0.0072974180644702251,food,1104991,313804.0,7448,0.0052772280665208489,fire_escape-s,163072,157033.0,3824,0.01209051444759565,honeycombed,1555456,2975779.0,997349,0.28222444074313657,wheel,1513439,345416.0,25802,0.014075970525674926
1099,object,cat,0.25560904936500445,cat,4163987,2663509.0,1389899,0.25560904936500445,brown-c,182265724,3485383.0,1002612,0.005426902124425966,fur,103337,1124599.0,8627,0.007075318889633391,hunting_lodge-indoor-s,125440,275368.0,3980,0.010029534206255608,striped,2433536,136045.0,76261,0.030586126129016733,head,4946761,2448414.0,665355,0.098866685884615044
41,texture,zigzagged,0.25204255437612055,dome,86299,623020.0,12006,0.017217519248888234,white-c,72511065,3584995.0,542789,0.0071841892854645562,tile,3967528,604297.0,52547,0.011627299758943796,geodesic_dome-outdoor-s,250880,274706.0,14322,0.028012924829442322,zigzagged,1618176,2294621.0,787666,0.25204255437612055,crosswalk,241792,359229.0,2340,0.003908592388935009
1171,texture,fibrous,0.24682628581085325,pottedplant,925877,1582458.0,107969,0.044980223849196331,green-c,63326720,3414362.0,789015,0.011963461281660816,food,1104991,907193.0,42708,0.021684955795348612,fishpond-s,125440,375400.0,11784,0.024095400117777922,fibrous,1831424,1045983.0,569622,0.24682628581085325,pot,422616,1123813.0,31661,0.020901550600487994
1087,texture,cobwebbed,0.2457177923115455,bird,1030707,1631595.0,142992,0.056758398132822081,green-c,63326720,3396866.0,630460,0.0095389647631434465,metal,3464654,466576.0,15594,0.0039824947977799771,signal_box-s,125440,305601.0,6244,0.014698785537562648,cobwebbed,1505280,1312358.0,555779,0.2457177923115455,wing,323329,1286060.0,21583,0.01359297042585807
