unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
924,object,train,0.29318890307977408,train,1646804,2843788.0,1018097,0.29318890307977408,black-c,139916835,3391856.0,1018198,0.0071557697111921592,granite,1317359,629100.0,6907,0.003561131642771114,train_station-outdoor-s,137984,452707.0,25607,0.045315386738962703,,24924928,0.0,145532,0.0058731052201595225,coach,689166,2373195.0,355029,0.13113611481709669
674,object,bus,0.26328408462797337,bus,1628191,1518944.0,655902,0.26328408462797337,yellow-c,34166024,2926357.0,169292,0.0045849901669927995,granite,1317359,966216.0,25455,0.011272651586275309,bus_depot-outdoor-s,163072,534055.0,29000,0.043404921519411728,,24924928,0.0,29373,0.0011798491738786302,body,1291612,1376772.0,35039,0.013305890416941191
74,object,bus,0.25803417968435483,bus,1628191,3059189.0,961424,0.25803417968435483,red-c,21004512,3361774.0,181321,0.0074972612116660084,metal,3464654,358553.0,11414,0.0029943913533604788,bus_depot-outdoor-s,163072,524185.0,46078,0.071864487140096606,,24924928,0.0,110486,0.004452487789167292,coach,689166,2542355.0,136960,0.044258297057320893
2001,object,train,0.25502643042056145,train,1646804,3048905.0,954187,0.25502643042056145,black-c,139916835,3618669.0,1127683,0.0079186872749074638,carpet,4416400,636719.0,47462,0.009481672435806129,train_station-outdoor-s,137984,349018.0,25196,0.054559706889906148,,24924928,0.0,184676,0.0074645965611021261,coach,689166,2553092.0,335811,0.11554003909240389
1530,object,bus,0.2475654659246691,bus,1628191,2659951.0,850934,0.2475654659246691,red-c,21004512,3224876.0,184839,0.0076873556663508225,paper,471706,676532.0,5313,0.0046485989894350021,classroom-s,639744,872770.0,138691,0.10095259724142047,meshed,1756160,41091.0,13911,0.007800531586797806,coach,689166,1935473.0,37428,0.014466543316335621
1620,object,bus,0.24534159674920339,bus,1628191,2631749.0,839240,0.24534159674920339,red-c,21004512,3051537.0,161860,0.0067740319623319292,glass,2246413,377899.0,11963,0.0045794034411175532,bus_depot-outdoor-s,163072,646032.0,37560,0.048681604678411081,,24924928,0.0,197727,0.0079963356952531747,coach,689166,1805684.0,42011,0.017127500011211497
1564,scene,carrousel-s,0.24411232059689222,carousel,134810,1696386.0,88904,0.051027037947714848,red-c,21004512,2836166.0,127059,0.0053580602775139471,food,1104991,1082801.0,17736,0.0081730609716984259,carrousel-s,200704,440932.0,125898,0.24411232059689222,smeared,1869056,245326.0,51131,0.024781764312727828,head,4946761,1289380.0,138781,0.022760834197095136
1902,object,bus,0.23579628723135121,bus,1628191,2499486.0,787582,0.23579628723135121,blue-c,61494563,3379727.0,376443,0.0058365204035415322,glass,2246413,552165.0,11732,0.0042097769306233641,airport_terminal-s,1480192,752823.0,199169,0.097927276696465712,perforated,1793792,137201.0,39909,0.021103769055208547,coach,689166,1758028.0,106233,0.045380081086357271
1025,scene,cockpit-s,0.22321944000586849,controls,151446,2002829.0,103798,0.050621391998057035,black-c,139916835,3014875.0,926583,0.0065249968052209836,glass,2246413,1013722.0,8658,0.0026627898644216151,cockpit-s,539392,994716.0,279952,0.22321944000586849,,24924928,0.0,224315,0.0090813535680268342,body,1291612,910609.0,76226,0.035854270588594986
1573,object,dog,0.21621943452229142,dog,3793935,3263728.0,1254711,0.21621943452229142,black-c,139916835,3654622.0,958225,0.0067190469394873545,fur,103337,1157153.0,37964,0.031053736280455387,elevator-door-s,137984,14746.0,1284,0.0084782694821916721,smeared,1869056,27772.0,6846,0.003622256719905269,head,4946761,3251216.0,998518,0.13869347682930064
