unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
198,part,wheel,0.21899864690447707,bicycle,1169902,2106473.0,301836,0.10147320307449323,black-c,142117568,3246821.0,921878,0.0063823177374699612,metal,3525611,785394.0,11716,0.0027251017551971966,park-s,1200286,721458.0,13425,0.0070349873370227937,paisley,1583356,364180.0,69210,0.036846638975342939,wheel,1540612,1584597.0,561458,0.21899864690447707
245,texture,dotted,0.21477146202320962,ball,124778,870721.0,30146,0.031227954955337582,red-c,21346526,3122173.0,462990,0.019286662185232686,food,1124215,973185.0,51832,0.025338683436580939,ball_pit-s,280918,353779.0,30380,0.050271628962944945,dotted,2987946,1245241.0,748427,0.21477146202320962,wheel,1540612,631128.0,19668,0.009139099435334877
105,texture,banded,0.14601807837906261,stairway,503591,540859.0,40628,0.040473311005337596,pink-c,18799488,3186184.0,155554,0.0071256600628544471,plastic-opaque,588126,399664.0,7458,0.0076076268039806921,staircase-s,881061,256373.0,24209,0.021746726852163757,banded,2617645,1995111.0,587727,0.14601807837906261,crosswalk,246024,313625.0,8608,0.015621342150584076
91,texture,studded,0.14400363714482209,ceiling,12335942,1388756.0,449414,0.033853437711765716,yellow-c,34739742,3383274.0,197904,0.0052182838642638686,glass,2286730,1119539.0,15251,0.0044974694914624459,casino-indoor-s,663988,878919.0,18178,0.011922118619111986,studded,1621663,758726.0,299636,0.14400363714482209,screen,689450,745675.0,8079,0.0056613451843878894
31,object,water,0.14163399040986985,water,5727011,2738108.0,1050204,0.14163399040986985,blue-c,62464739,3476800.0,753335,0.01155630856159191,tile,4040367,594214.0,45990,0.010022684523419062,river-s,638450,1112157.0,45742,0.026830276884093462,stratified,1596125,176966.0,15190,0.0086409871773211345,crosswalk,246024,1211058.0,2302,0.0015823698428628385
154,texture,cobwebbed,0.13232829729964402,bicycle,1169902,1366318.0,97838,0.040124147898073392,white-c,73689572,3494179.0,441433,0.0057521457717761406,tile,4040367,773255.0,41324,0.0086591407326197991,greenhouse-indoor-s,370301,612193.0,19175,0.019905140457107149,cobwebbed,1532280,1075925.0,304805,0.13232829729964402,wheel,1540612,777596.0,94157,0.042335809745370045
96,object,road,0.12574244582737637,road,13092677,2910711.0,1787536,0.12574244582737637,grey-c,161925849,3606324.0,2101548,0.012858960797586132,metal,3525611,521455.0,19043,0.0047276294102590773,street-s,28615329,2046886.0,1202138,0.040805663882005468,lined,1596125,53716.0,7898,0.0048101547983090765,crosswalk,246024,1951421.0,37736,0.017472724334621006
20,texture,waffled,0.12277172208281054,dog,3854036,1080919.0,78097,0.016079737146937383,orange-c,30864899,3142358.0,491782,0.014673281521446436,food,1124215,798283.0,68950,0.037198928757172733,ball_pit-s,280918,433341.0,11961,0.017031231756319966,waffled,1583356,1280161.0,313117,0.12277172208281054,head,5034747,700527.0,77838,0.013758529482260161
179,texture,honeycombed,0.12265002734778636,book,624354,292657.0,19259,0.02145247239772231,red-c,21346526,3276607.0,149214,0.0060968576385334932,food,1124215,156838.0,3675,0.0028769870782180372,bookstore-s,408608,211260.0,12857,0.021180835273166384,honeycombed,1583356,2807033.0,479652,0.12265002734778636,balcony,323043,139304.0,4033,0.0087996439122522991
223,object,cat,0.12152719940227674,cat,4228548,2026392.0,677777,0.12152719940227674,black-c,142117568,2780214.0,672016,0.0046594725660878099,fur,105154,950539.0,11686,0.011193411538428382,hayfield-s,204304,206159.0,1571,0.0038420903319213873,freckled,1583356,87849.0,9728,0.0058550313967632413,head,5034747,1870544.0,699353,0.11269094212671799
13,texture,perforated,0.11247798825171039,person,14745720,564496.0,159520,0.01052888923386754,pink-c,18799488,3036811.0,230312,0.010659637997560584,skin,180884,265354.0,3536,0.0079873142655781989,bank-outdoor-s,165997,190424.0,2622,0.0074109875946512006,perforated,1825967,2185029.0,405535,0.11247798825171039,head,5034747,403404.0,85703,0.01601192575808303
59,texture,cobwebbed,0.11124999877930761,grass,13100838,2396143.0,838596,0.057209303753448966,green-c,64303167,3799563.0,1575757,0.023685986735034525,food,1124215,508357.0,9112,0.0056127037315363481,highway-s,4149925,1186778.0,103715,0.019819460698170911,cobwebbed,1532280,743580.0,227842,0.11124999877930761,drawer,550426,1135053.0,5483,0.0032636982469005879
48,texture,chequered,0.11107859964805691,skyscraper,1293433,743367.0,55567,0.028046675984096773,green-c,64303167,3327144.0,396299,0.0058943232481798048,carpet,4490516,306338.0,26481,0.005551138244325968,skyscraper-s,4481919,376630.0,73360,0.015330637933005363,chequered,1557818,2239402.0,379622,0.11107859964805691,roof,451342,407142.0,3276,0.0038306470472680332
137,part,wheel,0.10241088121446659,bicycle,1169902,1104101.0,114851,0.053192642296605336,yellow-c,34739742,2902893.0,247383,0.0066153585487269883,food,1124215,915824.0,74584,0.037947447283199057,wine_cellar-barrel_storage-s,268149,365175.0,5681,0.0090513237620749379,swirly,1634432,862151.0,128419,0.054227241018780792,wheel,1540612,821526.0,219436,0.10241088121446659
161,object,dog,0.10113607654808557,dog,3854036,1977715.0,535629,0.10113607654808557,white-c,73689572,3074340.0,341126,0.0044636687283292707,fur,105154,987264.0,6414,0.0059060555946386937,archaelogical_excavation-s,127690,451346.0,2560,0.0044407746376258512,freckled,1583356,262267.0,19977,0.010942428050125819,muzzle,678509,1610938.0,174543,0.082529987176722913
197,part,head,0.098104940756660708,person,14745720,1561261.0,685728,0.043897118880284441,pink-c,18799488,2772875.0,301167,0.0141584422427399,skin,180884,1194821.0,9612,0.0070361241877383166,house-s,702295,396449.0,9179,0.008424462973755582,freckled,1583356,99864.0,37859,0.023009540155625421,head,5034747,1394384.0,574380,0.098104940756660708
10,object,grass,0.092868789224692508,grass,13100838,2860291.0,1356330,0.092868789224692508,green-c,64303167,3513345.0,2014006,0.030606828256662444,food,1124215,578367.0,16271,0.0096488725982336598,park-s,1200286,1411699.0,54638,0.021365110014401643,veined,1838736,143879.0,15537,0.0078985174965100526,body,1312994,1513045.0,10324,0.0036665642652043973
184,object,dog,0.092139054653054844,dog,3854036,1508097.0,452380,0.092139054653054844,black-c,142117568,2585699.0,643430,0.0044664079413056675,fur,105154,1025028.0,10288,0.0091865837302458984,shopfront-s,204304,373504.0,2782,0.0048380421059221667,freckled,1583356,151700.0,19801,0.011544056131595594,muzzle,678509,1260343.0,158539,0.089051194930329661
149,texture,zigzagged,0.087920690652051992,skyscraper,1293433,1062333.0,30361,0.01305622031431084,red-c,21346526,2710608.0,105913,0.0044220292568800564,glass,2286730,1272396.0,22422,0.0063398011255677601,skyscraper-s,4481919,664017.0,49982,0.0098081733076868429,zigzagged,1647201,298370.0,157232,0.087920690652051992,screen,689450,612681.0,8570,0.006625122433344852
