unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
209,object,grass,0.19224911061721658,grass,13100838,4017464.0,2760311,0.19224911061721658,green-c,64303167,4206820.0,2859939,0.043563395414425291,foliage,30889,295176.0,4102,0.012740594416128561,pasture-s,868292,1366628.0,92013,0.042938400966537511,matted,1621663,90234.0,29086,0.017284175109385427,wheel,1540612,2348490.0,2647,0.00068108340377027391
139,texture,grid,0.18150868396392081,windowpane,8991243,1782675.0,203287,0.019231302275143271,white-c,73689572,3851040.0,824592,0.010748628513314429,tile,4040367,653840.0,82444,0.017876894367728782,airport_terminal-s,1506742,1144223.0,45527,0.017473837412365981,grid,1712438,1207604.0,448590,0.18150868396392081,balcony,323043,1029859.0,8815,0.0065583552255173956
87,object,car,0.16432073016513021,car,5435238,2505866.0,1120729,0.16432073016513021,black-c,142117568,3102689.0,1034155,0.0071723625623778915,paper,478211,614404.0,3337,0.0030634971054221238,street-s,28615329,1660943.0,974724,0.033265273220377298,potholed,1608894,30298.0,4221,0.0025816971677173478,wheel,1540612,1817631.0,51920,0.015703244964269975
250,texture,zigzagged,0.13324579367071265,ceiling,12335942,1218591.0,198735,0.014880054340444503,white-c,73689572,4008630.0,522120,0.0067653084539844874,tile,4040367,1323064.0,64988,0.012265490069441155,atrium-public-s,242611,640496.0,12576,0.014446355155646382,zigzagged,1647201,1156797.0,329691,0.13324579367071265,wheel,1540612,712430.0,7838,0.0034909968091986297
94,scene,skyscraper-s,0.1325156113420409,skyscraper,1293433,2716359.0,456057,0.12833174111181617,blue-c,62464739,3384590.0,725862,0.011145936072475994,plastic-opaque,588126,481023.0,2869,0.002690662865288667,skyscraper-s,4481919,2001375.0,758610,0.1325156113420409,crosshatched,1774891,144130.0,25515,0.013475003512003659,roof,451342,986953.0,5989,0.0041813690649903021
23,texture,chequered,0.12135966484085216,seat,1515079,1200085.0,120238,0.04633581073217502,red-c,21346526,2930197.0,151271,0.0062701830415446726,tile,4040367,688355.0,24011,0.0051036078517894086,auditorium-s,497991,829860.0,58902,0.046417941146570905,chequered,1557818,907868.0,266850,0.12135966484085216,back pillow,287411,507015.0,17733,0.022831414728856834
141,texture,banded,0.11863792536196202,water,5727011,1029353.0,64455,0.0096317807071195985,blue-c,62464739,3333284.0,548716,0.0084095299280343306,carpet,4490516,725857.0,36928,0.0071297214276819232,moat-water-s,153228,409326.0,3757,0.0067233718148093135,banded,2617645,1435216.0,429829,0.11863792536196202,torso,7789829,620106.0,32546,0.0038849813468134283
115,object,car,0.11532855276694157,car,5435238,2038911.0,772851,0.11532855276694157,black-c,142117568,2917422.0,988966,0.0068656251143731674,metal,3525611,715449.0,30904,0.0073403455833940595,laundromat-s,370301,831564.0,27226,0.023178184957250696,swirly,1634432,120408.0,26862,0.015545336804056533,wheel,1540612,1690040.0,288849,0.098187744046763156
140,scene,mountain_snowy-s,0.11269151649553798,mountain,5559015,2195591.0,579842,0.080816874255376203,blue-c,62464739,3281065.0,642190,0.0098641221361382495,fabric,8700788,472411.0,58981,0.0064713176709181195,mountain_snowy-s,1825967,1168455.0,303270,0.11269151649553798,potholed,1608894,585978.0,76888,0.036302446099687247,body,1312994,962998.0,20053,0.0088889814839851616
72,object,sea,0.10630008565208109,sea,2313335,3054641.0,515788,0.10630008565208109,blue-c,62464739,3727232.0,1504000,0.023250072258411074,glass,2286730,438654.0,16129,0.0059532971241171469,coast-s,1123672,1235649.0,153192,0.069439275763112679,potholed,1608894,232127.0,30070,0.016604535407087215,pane,489020,1229903.0,4221,0.002461652228783777
125,object,water,0.1038642563318504,water,5727011,2596099.0,783134,0.1038642563318504,blue-c,62464739,3524971.0,716757,0.010980918850109324,tile,4040367,703245.0,12009,0.0025380404907174164,coast-s,1123672,829449.0,43165,0.022599997067995283,cobwebbed,1532280,214761.0,22309,0.012934763197992499,screen,689450,1329803.0,2821,0.0013990057686051401
214,object,road,0.10183163397528085,road,13092677,3131547.0,1499448,0.10183163397528085,grey-c,161925849,3453414.0,1967060,0.012037411918374296,concrete,389293,358931.0,7037,0.0094942302010153981,street-s,28615329,1735391.0,901182,0.030600887524958795,potholed,1608894,32548.0,16900,0.010402932026380358,crosswalk,246024,2176631.0,12050,0.0049987451282976682
233,object,grass,0.10042697422600926,grass,13100838,3412233.0,1507013,0.10042697422600926,green-c,64303167,3877936.0,2409350,0.036631986986875656,foliage,30889,358575.0,1100,0.002832394351690682,golf_course-s,395839,1748548.0,71670,0.034577802951391817,veined,1838736,160281.0,48281,0.02475014558607623,wheel,1540612,1554909.0,4779,0.0015462306462331698
228,object,tree,0.098539566539432882,tree,21530467,3357684.0,2232480,0.098539566539432882,green-c,64303167,3686659.0,1725717,0.026043012213444235,foliage,30889,272631.0,598,0.0019741055453218982,forest-broadleaf-s,1238593,1753741.0,83248,0.028616548290425241,frilly,1647201,122856.0,11801,0.0067117643847084841,pane,489020,1373551.0,2848,0.0015314108606496774
177,object,mountain,0.098295250373761897,mountain,5559015,2552684.0,725981,0.098295250373761897,blue-c,62464739,3748163.0,598581,0.0091227188040245051,tile,4040367,1044811.0,73772,0.014720818867998323,mountain-s,1187517,1461826.0,89301,0.034882630831837916,potholed,1608894,93577.0,16257,0.0096411250292074441,roof,451342,1155028.0,7793,0.0048749606681442311
166,object,track,0.097165267673825967,track,499164,1273380.0,156977,0.097165267673825967,black-c,142117568,3070348.0,1052502,0.0073021748839601627,granite,1341251,1742786.0,46225,0.015216544012598541,kitchen-s,9168142,704891.0,369642,0.038895800456910594,spiralled,1634432,18190.0,3586,0.0021746038291462406,drawer,550426,1012207.0,19441,0.012597913934235015
20,texture,grid,0.09666635862432206,ball,124778,373829.0,3703,0.007482259185619837,white-c,73689572,3008488.0,444993,0.005835739039847407,concrete,389293,113101.0,1103,0.0022003187769179975,bow_window-outdoor-s,293687,211119.0,9413,0.019001075913466683,grid,1712438,2393562.0,361926,0.09666635862432206,pane,489020,161931.0,5292,0.0081962769821221412
3,part,head,0.094422870015038476,person,14745720,1415225.0,863442,0.056443329345972348,pink-c,18799488,2889537.0,340209,0.01593573151785092,skin,180884,1464025.0,14232,0.0087276634183225746,ball_pit-s,280918,137718.0,5789,0.014022143796612305,freckled,1583356,96540.0,31206,0.01892775476287234,head,5034747,1415290.0,556486,0.094422870015038476
219,texture,paisley,0.090100937111034604,bed,6001986,1704945.0,138622,0.01831611262172303,purple-c,11026903,3295870.0,123659,0.0087089236694627564,carpet,4490516,990275.0,171013,0.032207184556491818,stadium-baseball-s,153228,876782.0,26246,0.02614758050697176,paisley,1583356,721754.0,190526,0.090100937111034604,wheel,1540612,1035754.0,16162,0.0063127782004871484
106,part,screen,0.087602333930121096,tvmonitor,1035941,1507985.0,119411,0.049251499784492982,blue-c,62464739,2921968.0,714488,0.011047834928936025,glass,2286730,1449233.0,113934,0.031455849746095353,office-s,1570587,779802.0,35420,0.015300420869566719,chequered,1557818,29088.0,12111,0.0076905247984658323,screen,689450,1078912.0,142435,0.087602333930121096
231,object,grass,0.086673596098076289,grass,13100838,2954396.0,1280573,0.086673596098076289,green-c,64303167,3715621.0,2137209,0.032440160549278882,glass,2286730,665252.0,13337,0.0045384862751370108,fairway-s,293687,1300473.0,29684,0.01897376501780788,polka-dotted,1736584,189271.0,18463,0.0096797092574573036,pane,489020,1802463.0,9716,0.004258103478576033
116,object,bed,0.084727675437110628,bed,6001986,1426394.0,580228,0.084727675437110628,pink-c,18799488,2931596.0,137631,0.0063737374471790134,fabric,8700788,1458747.0,274980,0.027819158272678942,bedroom-s,19511032,1058039.0,668618,0.033598129650616496,spiralled,1634432,55951.0,6525,0.0038750298421838421,headboard,509067,1091060.0,24012,0.01523492892333364
150,object,tree,0.083274445221005175,tree,21530467,3620738.0,1933446,0.083274445221005175,green-c,64303167,4207215.0,1759551,0.026359986439719381,glass,2286730,419752.0,7201,0.0026677474483019739,park-s,1200286,1877740.0,117033,0.039524916134553507,frilly,1647201,197483.0,19610,0.010744769801114913,pane,489020,1819041.0,5628,0.0024443708025380108
243,texture,chequered,0.083124050850277159,seat,1515079,1318529.0,116298,0.042798944544420771,red-c,21346526,3573860.0,216369,0.0087584541412839868,food,1124215,482616.0,12623,0.0079180382986410811,auditorium-s,497991,704200.0,58078,0.05076246839254514,chequered,1557818,1671642.0,247844,0.083124050850277159,roof,451342,569290.0,13080,0.012981960236295496
76,object,sea,0.081424615054664709,sea,2313335,2739110.0,380418,0.081424615054664709,blue-c,62464739,3716557.0,2122437,0.033132606998198331,glass,2286730,621295.0,38068,0.013264310231825773,coast-s,1123672,1309607.0,85603,0.036462867959633272,bubbly,1545049,362483.0,38758,0.020739800532327612,screen,689450,1194876.0,32854,0.017744799813337712
239,scene,mountain_snowy-s,0.081110874976457234,mountain,5559015,2950874.0,483042,0.060178299150338857,blue-c,62464739,3643178.0,1286860,0.019852499474052081,fabric,8700788,404113.0,25035,0.0027571992802536954,mountain_snowy-s,1825967,1572198.0,254949,0.081110874976457234,potholed,1608894,272795.0,26695,0.014390882126842459,cloud,131738,1383191.0,5988,0.0039683460122032603
